,Unnamed: 0,location,total_sqft,bath,price,bhk
119,119,basundhara-r-a block a,1357,3,8500000,3
120,120,basundhara-r-a block a,2700,5,26000000,4
121,121,basundhara-r-a block a,2050,4,16500000,3
122,122,basundhara-r-a block a,2210,3,19500000,3
123,123,basundhara-r-a block a,1900,4,17100000,3
124,124,basundhara-r-a block a,2450,4,25500000,3
125,125,basundhara-r-a block a,2550,4,26500000,3
126,126,basundhara-r-a block a,2200,4,13200000,4
127,127,basundhara-r-a block a,1450,3,10000000,3
128,128,basundhara-r-a block a,1100,3,7500000,3
129,129,basundhara-r-a block a,1500,3,12500000,3
130,130,basundhara-r-a block a,1736,3,12000000,3
131,131,basundhara-r-a block a,2374,3,20500000,3
132,132,basundhara-r-a block a,1490,3,9000000,3
133,133,basundhara-r-a block a,1475,3,12000000,3
134,134,basundhara-r-a block a,2335,4,25000000,4
135,135,basundhara-r-a block a,1750,3,13000000,3
136,136,basundhara-r-a block a,1860,4,17000000,3
137,137,basundhara-r-a block a,1887,4,15000000,3
138,138,basundhara-r-a block a,1910,3,16200000,3
139,139,basundhara-r-a block a,1600,4,13000000,3
140,140,basundhara-r-a block a,2400,4,19500000,4
141,141,basundhara-r-a block a,1580,4,10000000,3
142,142,basundhara-r-a block a,2000,3,17000000,3
143,143,basundhara-r-a block a,2100,4,21000000,3
144,144,basundhara-r-a block b,2350,4,19000000,3
145,145,basundhara-r-a block b,1785,3,13000000,3
146,146,basundhara-r-a block b,2000,3,22000000,3
147,147,basundhara-r-a block b,1820,4,14000000,3
148,148,basundhara-r-a block b,2100,4,17500000,3
149,149,basundhara-r-a block b,1500,3,10000000,3
150,150,basundhara-r-a block b,1450,3,9200000,3
151,151,basundhara-r-a block b,2006,4,14000000,3
152,152,basundhara-r-a block b,1595,3,12500000,3
153,153,basundhara-r-a block b,2345,4,20600000,4
154,154,basundhara-r-a block b,1200,4,11000000,3
155,155,basundhara-r-a block b,1873,3,15000000,3
156,156,basundhara-r-a block b,1474,4,10000000,3
157,157,basundhara-r-a block b,1800,4,20700000,4
158,158,basundhara-r-a block b,2250,4,22500000,3
